y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
0,0,0.626119002,2.452193721,1.84E-34,0,-0.54515628,0.770575378,1.01020699
0,0,0.506280681,1.515711283,1.10E-06,0,-0.315505201,1.467345102,2.169057461
0.01,0,0.514827327,1.585571442,2.76E-05,0,-0.363107975,2.344969448,3.481841013
0.03,0,0.57460634,2.008974839,2.16E-04,0,-0.483728748,3.216662633,4.907131163
0.07,0,0.634632393,2.461605008,9.91E-04,0,-0.599875717,4.015536507,6.336763849
0.13,0,0.683983452,2.835263031,3.32E-03,0,-0.690254476,4.738928813,7.652639549
0.22,0,0.725144174,3.124794315,9.08E-03,0,-0.7571454,5.399845337,8.803913494
0.34,0,0.760646722,3.346864581,2.14E-02,0,-0.806634233,6.011444618,9.801714798
0.49,0,0.790738137,3.517873509,4.50E-02,0,-0.843671281,6.584593907,10.67225143
0.68,0,0.815793728,3.650125607,8.52E-02,0,-0.871686606,7.127934632,11.43939642
0.9,0,0.836459603,3.752419313,1.49E-01,0,-0.893050845,7.648558875,12.12564804
1.16,0,0.853367615,3.830968641,2.44E-01,0,-0.909384013,8.152554914,12.75110416
1.44,0,0.866978588,3.889635972,3.80E-01,0,-0.921669519,8.641079305,13.32599919
1.77,0,0.876703426,3.927623176,5.64E-01,-0.01,-0.929788595,9.064138329,13.80145233
2.12,0,0.883848593,3.95195665,8.07E-01,-0.01,-0.935180726,9.43654898,14.20506814
2.52,0,0.889254976,3.966954849,1.12E+00,-0.02,-0.938748558,9.769113045,14.55543878
2.94,0.01,0.893468914,3.975377975,1.50E+00,-0.03,-0.941062186,10.0696209,14.86480629
3.4,0.01,0.89687522,3.979007567,1.95E+00,-0.04,-0.942487419,10.34394261,15.14165932
3.89,0.01,0.899725685,3.979055075,2.47E+00,-0.06,-0.943261795,10.59639889,15.39217346
4.42,0.02,0.90220084,3.976342382,3.05E+00,-0.09,-0.94353734,10.83041575,15.62086581
4.98,0.03,0.904381446,3.971482338,3.67E+00,-0.12,-0.943418571,11.04856818,15.83124968
5.57,0.04,0.906277005,3.964945271,4.31E+00,-0.15,-0.942991001,11.25297288,16.02598732
6.2,0.05,0.907911272,3.957082737,4.96E+00,-0.19,-0.942302139,11.44533195,16.20726093
6.86,0.06,0.909293748,3.948156029,5.59E+00,-0.24,-0.941408993,11.62702016,16.37683805
7.56,0.08,0.910457688,3.93836468,6.19E+00,-0.28,-0.940330567,11.79917226,16.53609346
8.29,0.1,0.911412594,3.927870216,6.73E+00,-0.33,-0.939100116,11.96279203,16.68622737
9.05,0.12,0.912172718,3.916796158,7.20E+00,-0.38,-0.937736643,12.11868689,16.82822175
9.85,0.14,0.912766565,3.905251772,7.61E+00,-0.43,-0.936254401,12.26757696,16.96294948
10.68,0.17,0.913194135,3.893313073,7.93E+00,-0.47,-0.934672393,12.41007324,17.0910652
11.55,0.2,0.913479182,3.88105132,8.19E+00,-0.52,-0.93300012,12.54672128,17.2132454
12.45,0.23,0.913631206,3.868523524,8.37E+00,-0.56,-0.931247083,12.67797934,17.32997015
13.38,0.26,0.913659711,3.855772442,8.50E+00,-0.6,-0.929422785,12.80428386,17.44174135
14.35,0.3,0.913569446,3.84284083,8.56E+00,-0.64,-0.927536727,12.92598398,17.54892998
15.35,0.34,0.913379415,3.829761944,8.58E+00,-0.67,-0.925598411,13.04342884,17.65192882
16.38,0.37,0.913089618,3.816559538,8.55E+00,-0.7,-0.923607836,13.15690215,17.75104339
17.45,0.41,0.912704805,3.803257365,8.49E+00,-0.73,-0.921569753,13.26666575,17.84655736
18.55,0.45,0.912239229,3.78987443,8.40E+00,-0.75,-0.919488913,13.3729815,17.93871078
19.68,0.49,0.911697641,3.776429734,8.28E+00,-0.77,-0.917370067,13.47604581,18.02774368
20.85,0.53,0.91108004,3.762937531,8.15E+00,-0.79,-0.915222716,13.57605507,18.11387428
22.06,0.57,0.910395928,3.749407321,8.01E+00,-0.81,-0.913037359,13.67320568,18.19725533
23.29,0.61,0.909645305,3.735848607,7.86E+00,-0.83,-0.910828249,13.76765038,18.27808324
24.56,0.65,0.908837674,3.722270889,7.70E+00,-0.84,-0.908590633,13.85954193,18.35648893
25.86,0.69,0.907968282,3.70868367,7.54E+00,-0.85,-0.906329264,13.94903309,18.43264697
27.2,0.73,0.907046631,3.695096451,7.38E+00,-0.86,-0.904044141,14.03621114,18.50664466
28.57,0.76,0.906077473,3.681509233,7.22E+00,-0.87,-0.901740014,14.12122883,18.57863474
29.98,0.8,0.905060807,3.667926764,7.06E+00,-0.88,-0.899416885,14.20419527,18.64868268
31.41,0.83,0.903996633,3.654353798,6.91E+00,-0.89,-0.897074753,14.28517593,18.71691942
32.88,0.86,0.902889702,3.640799834,6.76E+00,-0.89,-0.894713617,14.36430173,18.78343223
34.39,0.89,0.901744765,3.627260123,6.62E+00,-0.9,-0.89234298,14.44163815,18.84830841
35.93,0.92,0.900561822,3.613744166,6.49E+00,-0.9,-0.88995334,14.51727247,18.91161342
37.5,0.95,0.899340873,3.600247212,6.36E+00,-0.91,-0.887554198,14.59129198,18.97343455
39.1,0.97,0.898086668,3.586774011,6.24E+00,-0.91,-0.885140804,14.66374032,19.03383726
40.74,0.99,0.896794457,3.573329316,6.12E+00,-0.92,-0.882713157,14.73470478,19.0928652
42.41,1.02,0.895473741,3.559913124,6.01E+00,-0.92,-0.880276009,14.804229,19.15060565
44.11,1.04,0.894124521,3.546525438,5.91E+00,-0.92,-0.87782936,14.87237845,19.20710226
45.85,1.06,0.892742045,3.533166256,5.82E+00,-0.92,-0.875368458,14.93921859,19.26239868
47.62,1.07,0.891335815,3.51984033,5.73E+00,-0.92,-0.872902805,15.00479306,19.31656036
49.43,1.09,0.889901081,3.506542909,5.65E+00,-0.93,-0.870427651,15.0691237,19.36963095
